uuid,image_path,Danaus plexippus,Vanessa atalanta,Dione vanillae,Aglais io,Pararge aegeria,Vanessa virginiensis,Vanessa cardui,Nymphalis antiopa,Danaus gilippus,other
5994c404-c52b-4833-ace9-eecdd76cf149,images-original/59/5994c404-c52b-4833-ace9-eecdd76cf149.jpeg,0,0,0,0,0,0,0,0,0,1
6cb21298-a76e-4693-abc5-c5ddea93ffbe,images-original/6c/6cb21298-a76e-4693-abc5-c5ddea93ffbe.jpeg,0,0,0,0,0,0,0,0,1,0
6f34b554-3cc9-4175-a9ec-13572e096e5c,images-original/6f/6f34b554-3cc9-4175-a9ec-13572e096e5c.jpeg,1,0,0,0,0,0,0,0,0,0
59aff41d-9a5f-40ec-84a5-bc422b4c8939,images-original/59/59aff41d-9a5f-40ec-84a5-bc422b4c8939.jpg,0,0,1,0,0,0,0,0,0,0
9258b964-304e-4030-9c10-2477a66fd4e9,images-original/92/9258b964-304e-4030-9c10-2477a66fd4e9.jpg,0,0,0,0,0,0,0,0,0,1
382a99e6-5c61-4a7f-a877-99c6ac7c0e01,images-original/38/382a99e6-5c61-4a7f-a877-99c6ac7c0e01.jpg,0,0,0,0,0,0,1,0,0,0
444bb95c-b4c4-4e33-9e6c-c7926af84dcc,images-original/44/444bb95c-b4c4-4e33-9e6c-c7926af84dcc.jpeg,0,0,0,0,0,0,0,0,0,1
1ae52bb8-54dc-4d9f-87c4-7a332ac194c5,images-original/1a/1ae52bb8-54dc-4d9f-87c4-7a332ac194c5.jpg,0,0,0,0,0,0,0,0,0,1
e669dcef-0361-4f1d-862b-835cc44ac56f,images-original/e6/e669dcef-0361-4f1d-862b-835cc44ac56f.jpg,0,0,0,0,0,0,0,0,0,1
eac41920-5aef-43db-92fb-c554c0dea015,images-original/ea/eac41920-5aef-43db-92fb-c554c0dea015.jpg,0,0,0,0,0,0,0,1,0,0
ecf5629f-04ad-4f02-a0d8-184db9dcb3c0,images-original/ec/ecf5629f-04ad-4f02-a0d8-184db9dcb3c0.jpg,0,0,0,0,1,0,0,0,0,0
4c90bf94-e730-4a4a-9d23-d36790c9c248,images-original/4c/4c90bf94-e730-4a4a-9d23-d36790c9c248.jpeg,1,0,0,0,0,0,0,0,0,0
b886e9ad-5fc0-4a39-9f15-c4423534ff85,images-original/b8/b886e9ad-5fc0-4a39-9f15-c4423534ff85.jpg,0,0,0,0,0,0,0,1,0,0
21fd5c5a-db5b-4220-bfec-d4e600e853a6,images-original/21/21fd5c5a-db5b-4220-bfec-d4e600e853a6.jpeg,0,0,0,0,1,0,0,0,0,0
